epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9963979,0.9714535,0.28955638,0.85337764,0.9598014,0.90418226,0.8598523,0.2211363615244627,0.9985182285308838,0.9946287274360657,0.26348623633384705,0.7861313819885254,0.988787829875946,0.9790220856666565,0.8456188440322876,0.07493215054273605
1,0.9986474,0.98547924,0.34737617,0.89617956,0.97541934,0.97512597,0.88687444,0.13074661089479922,0.9995771646499634,0.9931051731109619,0.2660326659679413,0.796350359916687,0.9895340204238892,0.9719685316085815,0.9106840491294861,0.05079067498445511
2,0.9987837,0.9879695,0.36029914,0.89080447,0.9781725,0.9817968,0.8906168,0.1124679966121912,0.9964936971664429,0.996198296546936,0.3186829686164856,0.7806569337844849,0.9892212152481079,0.9845046997070312,0.8140013813972473,0.06083737686276436
3,0.99877596,0.99019516,0.3800802,0.884543,0.98056054,0.9855534,0.89369917,0.10163530842214823,0.995624303817749,0.9959699511528015,0.31933990120887756,0.8051095008850098,0.9883056879043579,0.9884932637214661,0.7900709509849548,0.06454087048768997
4,0.99873185,0.9904562,0.39059913,0.8860992,0.9804935,0.98707205,0.89347667,0.0986486356779933,0.9982139468193054,0.9968149662017822,0.3043668270111084,0.7631387114524841,0.9906784296035767,0.9889838099479675,0.8420956134796143,0.04740242660045624
5,0.9988051,0.99059904,0.39247805,0.8864732,0.9807422,0.9866883,0.8941075,0.09694389484077692,0.9992795586585999,0.9961665868759155,0.3309546411037445,0.7616788148880005,0.9922317266464233,0.9793127179145813,0.9075726270675659,0.0452067032456398
6,0.99887073,0.99080527,0.39688277,0.88997364,0.98104256,0.9893859,0.89471596,0.09398332953453065,0.9989817142486572,0.9938344955444336,0.2872326076030731,0.7693430781364441,0.9901474118232727,0.9713742136955261,0.9114161729812622,0.047324396669864655
7,0.9989191,0.9909525,0.39697146,0.8901628,0.98140466,0.9891488,0.8957792,0.09166607999056578,0.9990212917327881,0.9952406883239746,0.30878859758377075,0.8065693378448486,0.9909713864326477,0.982093334197998,0.8908716440200806,0.0433226004242897
8,0.99892634,0.99088854,0.39730453,0.8929926,0.98136467,0.9888168,0.895404,0.09128879809379578,0.9993688464164734,0.994096040725708,0.28748026490211487,0.7978101968765259,0.990374743938446,0.9756878018379211,0.90711510181427,0.042664784938097
9,0.9989469,0.990992,0.39803144,0.8920204,0.9815556,0.98992145,0.89679736,0.0909586546421051,0.9989510774612427,0.9950171709060669,0.3119664192199707,0.7868613004684448,0.9910324215888977,0.9770428538322449,0.901624321937561,0.044209763407707214
